url,kinds,referenced_by
https://app.sherlock.xyz/audits/contests/857,contest_link,h-2-dirty-evm-state-changes-are-not-committed-before-precompile-calls-resulting-.md;m-1-user-is-able-to-dos-and-grief-node-by-repeatedly-calling-deposit.md;m-11-dosed-sui-node-on-withdrawals-to-sui-due-to-lack-of-payload-validation.md;m-12-sui-receiver-lacks-validation.md;m-24-zeta-coin-type-outbound-cctxs-can-be-sent-to-unsupported-external-chains-wh.md;m-25-outbound-cctxs-to-external-chains-are-not-properly-validated-preventing-sub.md;m-5-sui-tss-drained-due-to-lack-of-refund-when-the-withdrawwithdraw_and_call-ptb.md;m-6-wrong-postgasprice-implementation-can-lead-to-loss-of-funds.md
https://certificate.quantstamp.com/full/bucket-protocol-v-2/abd312d6-1a5e-45c5-963b-a6856daf6621/index.html,contest_link;source_link,security-level-constraint-can-be-circumvented.md
https://certificate.quantstamp.com/full/dipcoin-perpetual/ea7e8c75-4423-49da-a381-1d39997cfff7/index.html,contest_link;source_link,missing-on-chain-zk-proof-verification.md
https://certificate.quantstamp.com/full/dipcoin-vault/287cb76f-d531-451c-b1ae-306a570c4ff3/index.html,contest_link;source_link,denial-of-service-in-several-functions-due-to-object-limits.md
https://consensys.net/diligence/audits/2023/08/solflare-metamask-snaps-solflare-sui-aptos/,source_link,ctrlcharmarkdown-injection-in-rendersigntransaction-rendersignalltransactions-fi.md;ctrlcharmarkdown-injection-in-rendersigntransaction-rendersignalltransactions.md;dapp-may-force-a-sign-approval-dialog-without-showing-the-message-to-be-signed-f.md;dapp-may-force-a-sign-approval-dialog-without-showing-the-message-to-be-signed.md;dapp-may-suppress-user-confirmation-on-request-to-extract-pubkey-may-extract-any.md;insufficient-input-validation-derivekeypair.md;production-builds-allow-development-and-localhost-origins-snap-does-not-enforce-.md
https://github.com/AftermathFinance,github_link,missing-owner-check.md;price-manipulation.md;risk-of-arithmetic-overflow.md
https://github.com/AftermathFinance/indices,github_link,incorrect-price-calculation.md;missing-invariant-checks.md
https://github.com/Bucket-Protocol/v1-core,github_link,improper-conversion.md;improper-stake-update.md;improper-tank-value-update.md;precision-loss-in-redistribution.md;users-unable-to-claim-surplus.md
https://github.com/CetusProtocol/cetus-limitorder,github_link,loss-of-coin.md;unsafe-role-removal.md
https://github.com/MystenLabs/deepbookv3,github_link,bigvector-size-overflow.md;denial-of-service-due-to-excessive-gas-consumption.md;improper-order-quantity-calculation.md;incorrect-base-quantity-calculation.md;trade-proof-bypass.md;volume-overflow-risk.md
https://github.com/MystenLabs/security-token,github_link,possible-overflow-due-to-exceeding-the-type-limit.md;repeated-invocation-resulting-in-excessive-claims.md;risk-of-compromising-snapshot-integrity.md
https://github.com/MystenLabs/sui,github_link,absence-of-checks-for-max-ttl.md;arbitrary-update-of-last-epoch-mixed.md;blocking-user-funds-in-kiosk.md;blocklist-validation-order-mismatch.md;bypass-id-leak-verifier.md;dynamic-field-hash-collision.md;inability-to-end-an-epoch.md;incorrect-value-in-record-name.md;mixing-over-limit-suifrens.md;modules-digest-collision.md;potential-overflow-in-threshold.md;rounding-errors-result-in-lost-accrued-rewards.md;rpc-node-crashes-due-to-an-overflow.md
https://github.com/Sui-Volo/volo-liquid-staking-contracts,github_link,include-pending-in-unstake.md;restake-sui.md;round-up-shares.md
https://github.com/axelarnetwork/axelar-cgp-sui,github_link,incorrect-function-call.md;utilization-of-incorrect-flow-tracking.md
https://github.com/fireflyprotocol/bluefin-spot-contracts,github_link,faulty-constant-definition.md;reward-accumulation-during-inactive-time-period.md
https://github.com/fireflyprotocol/elixir_bluefin_integration,github_link,inconsistent-assert-statement.md;missing-uid-validation.md;share-price-inflation.md;share-price-manipulation.md;signature-length-validation.md
https://github.com/lombard-finance/sui-contracts,github_link,denial-of-service-via-mint-limit-exhaustion.md
https://github.com/sherlock-audit/2025-04-zetachain-cross-chain-judging/issues/177,github_issue;github_link,m-11-dosed-sui-node-on-withdrawals-to-sui-due-to-lack-of-payload-validation.md
https://github.com/sherlock-audit/2025-04-zetachain-cross-chain-judging/issues/178,github_issue;github_link,m-12-sui-receiver-lacks-validation.md
https://github.com/sherlock-audit/2025-04-zetachain-cross-chain-judging/issues/321,github_issue;github_link,m-24-zeta-coin-type-outbound-cctxs-can-be-sent-to-unsupported-external-chains-wh.md
https://github.com/sherlock-audit/2025-04-zetachain-cross-chain-judging/issues/322,github_issue;github_link,m-25-outbound-cctxs-to-external-chains-are-not-properly-validated-preventing-sub.md
https://github.com/sherlock-audit/2025-04-zetachain-cross-chain-judging/issues/329,github_issue;github_link,h-2-dirty-evm-state-changes-are-not-committed-before-precompile-calls-resulting-.md
https://github.com/sherlock-audit/2025-04-zetachain-cross-chain-judging/issues/45,github_issue;github_link,m-1-user-is-able-to-dos-and-grief-node-by-repeatedly-calling-deposit.md
https://github.com/sherlock-audit/2025-04-zetachain-cross-chain-judging/issues/80,github_issue;github_link,m-5-sui-tss-drained-due-to-lack-of-refund-when-the-withdrawwithdraw_and_call-ptb.md
https://github.com/sherlock-audit/2025-04-zetachain-cross-chain-judging/issues/84,github_issue;github_link,m-6-wrong-postgasprice-implementation-can-lead-to-loss-of-funds.md
https://github.com/turbos-finance/liquidity-vault,github_link,incorrectly-calculated-reward-period.md;missing-tick-step-validation.md
